rosbagTimestamp,data
1617242623810637306,780
1617242624810921438,780
1617242638496524910,781
1617242639496519776,780
1617242640506881424,780
1617242641506562394,780
1617242642506524944,779
1617242643516670901,777
1617242644516598220,770
1617242645516572367,760
1617242646516783061,757
1617242647516655562,754
1617242648526713556,755
1617242649526735332,761
1617242650526823502,758
1617242651537115600,756
1617242652537138197,757
1617242653537193841,770
1617242654537173198,763
1617242655547014365,746
1617242656546773400,755
1617242657546859438,745
1617242658557041881,753
1617242659556924465,751
1617242660556992150,768
1617242661557025772,762
1617242662567338311,772
1617242663566861121,771
1617242664567119913,768
1617242665566977390,772
1617242666576870707,771
1617242667577142980,774
1617242668577447582,774
1617242669587144911,775
1617242670587110946,776
1617242671587239893,775
1617242672590788538,775
1617242673597063679,776
1617242674597181628,776
1617242675597282904,775
1617242676607180680,775
1617242677607927616,776
1617242678607210534,776
1617242679607131898,776
1617242680617412480,776
1617242681617390393,776
1617242682617664591,776
1617242683627461757,776
1617242684627468018,776
1617242685627505311,777
1617242686627590874,776
1617242687637616550,777
1617242688637486451,776
1617242689637631424,776
1617242690637757226,776
1617242691647439760,777
1617242692647440154,776
1617242693647710759,777
1617242694647492100,776
1617242695657536453,777
1617242696657695079,777
1617242697657879408,777
1617242698657529178,776
1617242699667713957,776
1617242700667737917,777
1617242701667825110,776
1617242702667658924,776
1617242703677672673,776
1617242704677660654,777
1617242705677629344,777
1617242706677923289,776
1617242707687852382,755
1617242708688060245,758
1617242709687831473,761
1617242710687935186,760
1617242711698009077,759
1617242712698095257,759
1617242713697810334,765
1617242714697914061,763
1617242715708183307,757
1617242716707780968,750
1617242717708130568,748
1617242718707847613,741
1617242719717786932,741
1617242720717935744,743
1617242721718254298,741
1617242722728048911,742
1617242723727944607,747
1617242724728090184,751
1617242725728241282,750
1617242726738254805,745
1617242727738379126,752
1617242728738334080,747
1617242729738452035,752
1617242730748251991,756
1617242731748267502,756
1617242732748279607,750
1617242733748274183,751
1617242734758156463,753
1617242735758298754,753
1617242736758393023,754
1617242737758366100,752
1617242738768452574,750
1617242739768350272,752
1617242740768568410,749
1617242741768416326,753
1617242742778629004,752
1617242743778670941,749
1617242744778610261,749
1617242745788659901,751
1617242746788691455,750
1617242747788695641,749
1617242748788837723,748
1617242749798695736,750
1617242750798387671,751
1617242751798373037,751
1617242752808677313,750
1617242753808663131,749
1617242754808472587,749
1617242755808721797,749
1617242756818657242,754
1617242757818697921,749
1617242758818538706,748
1617242759818719727,748
1617242760828936194,747
1617242761829008263,750
1617242762828887813,753
1617242763828870890,750
1617242764839121828,750
1617242765838860082,751
1617242766838746909,751
1617242767839098916,750
1617242768848975739,751
1617242769848851257,751
1617242770848919273,750
1617242771858915585,752
1617242772858796685,750
1617242773859019604,748
1617242774859217707,748
1617242775868892533,749
1617242776869037493,750
1617242777869353253,750
1617242778868973397,748
1617242779879220144,741
1617242780879243762,747
1617242781879344884,750
1617242782879120191,750
1617242783889234151,747
1617242784889255637,742
1617242785889166098,744
1617242786899228570,745
1617242787899210149,745
1617242788899289218,745
1617242789899339543,750
1617242790909171455,748
1617242791909291540,748
1617242792909423733,753
1617242793919488256,748
1617242794919382793,751
1617242795919617390,749
1617242796919401550,751
1617242797929509835,750
1617242798929613885,752
1617242799929662918,751
