rosbagTimestamp,data
1617242623908673496,786
1617242624908993884,785
1617242638602591305,785
1617242639602870814,784
1617242640602851887,785
1617242641602532689,785
1617242642612782885,785
1617242643612856573,781
1617242644612699870,772
1617242645612726078,761
1617242646623057477,761
1617242647622717489,759
1617242648622728152,761
1617242649622800618,767
1617242650632993415,763
1617242651633010345,762
1617242652632953627,762
1617242653642956336,777
1617242654643073693,756
1617242655642936448,757
1617242656642894693,757
1617242657653033262,752
1617242658652989299,758
1617242659652973954,759
1617242660666390354,773
1617242661663159142,766
1617242662663128206,778
1617242663663000481,775
1617242664673177455,774
1617242665673122711,778
1617242666673150297,777
1617242667673109338,779
1617242668683291979,779
1617242669682998814,779
1617242670683137028,780
1617242671683220644,781
1617242672693115359,780
1617242673693125185,780
1617242674693190330,781
1617242675703441813,781
1617242676703148838,781
1617242677703309212,781
1617242678713455553,781
1617242679713312723,781
1617242680713300609,781
1617242681713244929,781
1617242682723432801,781
1617242683723392449,781
1617242684723503821,781
1617242685723524591,781
1617242686733677815,781
1617242687733514805,781
1617242688733657463,781
1617242689733762254,782
1617242690743528338,781
1617242691743443411,782
1617242692743667536,781
1617242693753681979,781
1617242694753521318,781
1617242695753563002,782
1617242696753674257,781
1617242697763442409,782
1617242698763692762,781
1617242699763540236,781
1617242700763514754,782
1617242701773481735,781
1617242702773674408,781
1617242703773633357,781
1617242704773567649,781
1617242705783707205,782
1617242706783768059,781
1617242707783936999,766
1617242708783950026,763
1617242709793726148,766
1617242710793843052,763
1617242711793955398,762
1617242712793652551,765
1617242713803826751,770
1617242714803783996,768
1617242715803842588,762
1617242716803924170,752
1617242717813930049,744
1617242718813955963,744
1617242719813701315,742
1617242720824063769,737
1617242721824042751,741
1617242722823923057,746
1617242723824000782,749
1617242724834242187,757
1617242725834112486,755
1617242726834108250,755
1617242727834309777,758
1617242728834118009,759
1617242729844096140,758
1617242730844107026,760
1617242731844013108,756
1617242732844123064,754
1617242733855223557,753
1617242734856221500,754
1617242735854133186,753
1617242736864219361,755
1617242737864106166,752
1617242738864196812,752
1617242739864278595,753
1617242740874234523,755
1617242741874247613,752
1617242742874311726,752
1617242743884436447,752
1617242744884481103,751
1617242745884557692,749
1617242746884588740,750
1617242747894235634,751
1617242748894519931,752
1617242749894482675,754
1617242750894167856,754
1617242751904441360,755
1617242752904395955,758
1617242753904391141,753
1617242754914339030,756
1617242755914586262,754
1617242756914546687,756
1617242757914502486,757
1617242758924590862,754
1617242759924614558,755
1617242760924468437,756
1617242761924467350,758
1617242762934594280,758
1617242763934867133,755
1617242764934718908,753
1617242765934839985,753
1617242766944694250,757
1617242767944729659,757
1617242768944539172,755
1617242769944584829,756
1617242770954846662,754
1617242771955024568,753
1617242772954730547,755
1617242773964893990,753
1617242774964743154,751
1617242775964816041,754
1617242776964746120,758
1617242777974848469,757
1617242778974701525,756
1617242779974792621,752
1617242780974935435,753
1617242781984963423,753
1617242782985038087,751
1617242783985151339,757
1617242784985145229,752
1617242785994855795,750
1617242786995032518,754
1617242787994931294,748
1617242789005057755,752
1617242790004920997,751
1617242791004993719,756
1617242792004965579,755
1617242793015105779,756
1617242794014920224,757
1617242795015119579,758
1617242796014947459,758
1617242797025149375,757
1617242798025212456,757
1617242799025361886,752
1617242800035371371,759
1617242801035224854,757
1617242802035499394,756
1617242803035419113,755
1617242804045209999,754
1617242805045319517,754
1617242806055330815,757
1617242807055158544,755
1617242808070866320,754
1617242809063374561,755
1617242810065226812,756
1617242811065266053,757
1617242812065435003,756
1617242813065392377,759
1617242814075383702,758
1617242815075399354,758
1617242816075522777,756
1617242817075484991,755
1617242818085666094,753
1617242819085560009,753
1617242820085816891,756
1617242821085733089,755
1617242822095448046,754
1617242823095474912,758
1617242824095528798,756
1617242825105558313,754
1617242826105675329,754
1617242827105684382,754
1617242828115645371,754
1617242829115443067,749
1617242830115687671,757
1617242831115820287,756
1617242832125649278,759
1617242833125736048,755
1617242834125966076,754
1617242835125741874,755
1617242836135886193,756
1617242837135944629,756
1617242838135942187,757
1617242839136016439,756
1617242840145901705,754
1617242841145995610,755
1617242842145938816,758
1617242843145987782,760
1617242844162555463,757
1617242845155859340,753
1617242846156059964,757
1617242847168901875,755
1617242848165995896,752
1617242849166156577,754
1617242850166092945,754
1617242851176127670,754
1617242852175997071,752
1617242853176026441,751
1617242854186093756,750
1617242855186413317,749
1617242856186295531,753
1617242857186241316,759
1617242858186171612,754
1617242859196316819,756
1617242860196030113,753
1617242861196180872,754
1617242862206287719,757
1617242863206187565,753
1617242864206128132,756
1617242865206282512,758
1617242866216279584,756
1617242867216309280,756
1617242868216308224,757
1617242869216297355,762
