rosbagTimestamp,data
1645113668216740688,812
1645113669190678898,813
1645113670200981999,812
1645113671200658079,813
1645113672200816428,812
1645113673200764370,812
1645113674211080255,813
1645113675210945618,812
1645113676210904205,813
1645113677211089390,813
1645113678220941226,812
1645113679220933451,813
1645113680220967493,813
1645113681220875055,812
1645113682230989017,813
1645113683231016194,813
1645113684230991136,812
1645113685231203057,812
1645113686241162487,813
1645113687241065687,812
1645113688241266554,812
1645113689241107473,812
1645113690251067911,813
1645113691251205151,813
1645113692251295580,813
1645113693251094284,812
1645113694261271259,813
1645113695261295685,813
1645113696261224962,813
1645113697271184347,813
1645113698271394487,812
1645113699271272517,813
1645113700271371414,813
1645113701281395932,813
1645113702281336104,791
1645113703281341049,778
1645113704281345286,777
1645113705291532417,779
1645113706291433476,770
1645113707291368780,761
1645113708301370575,762
1645113709301590388,757
1645113710301595446,760
1645113711301462541,764
1645113712311642830,759
1645113713311770846,761
1645113714311626437,762
1645113715311629524,768
1645113716321791302,770
1645113717321943570,772
1645113718321720120,776
1645113719331809427,777
1645113720331797601,773
1645113721331814566,772
1645113722331734239,778
1645113723341858918,780
1645113724341731085,782
1645113725341743579,773
1645113726341965526,755
1645113727351916715,771
1645113728351946028,775
1645113729351954937,775
1645113730362054485,776
1645113731362331886,775
1645113732362233357,776
1645113733362201764,774
1645113734371906195,765
1645113735372082608,763
1645113736371986067,759
1645113737372089319,762
1645113738382092756,767
1645113739382213253,771
1645113740382188955,770
1645113741382359150,770
1645113742392174611,775
1645113743392220433,776
1645113744392263569,775
1645113745402230349,773
1645113746402271032,771
1645113747402221037,778
1645113748402539612,779
1645113749412461776,773
1645113750412379751,772
1645113751412547231,766
1645113752412511253,769
1645113753422405112,769
1645113754422517615,773
1645113755422540831,771
1645113756422511341,762
1645113757432574720,768
1645113758432806998,764
1645113759432432923,757
1645113760432612000,764
1645113761442465886,758
1645113762442680272,760
1645113763442741270,762
1645113764442720478,764
1645113765452620056,759
1645113766452575150,768
1645113767452616138,772
1645113768452705564,768
1645113769462895405,765
1645113770462989511,765
1645113771462905100,765
1645113772463170969,763
1645113773472944060,763
1645113774472815512,771
1645113775473023659,774
1645113776483149525,775
1645113777482922022,775
1645113778482835063,773
1645113779483269854,775
1645113780492904429,777
1645113781492995070,779
1645113782493092017,775
1645113783493037222,779
1645113784503163400,772
1645113785503151186,765
1645113786503165383,774
1645113787503227797,773
1645113788513355666,777
1645113789513240331,774
1645113790513466483,771
1645113791513354392,767
1645113792523248084,763
1645113793523328319,763
1645113794523449177,760
1645113795523412869,754
1645113796533248718,769
1645113797533473511,771
1645113798533487828,777
1645113799533322388,764
1645113800543426225,760
1645113801543488239,757
1645113802543384032,755
1645113803543413306,757
1645113804553618178,767
1645113805553484440,770
1645113806553473362,771
1645113807563901977,773
1645113808563725430,772
1645113809563704940,777
1645113810563839975,771
1645113811573714803,772
1645113812573662416,760
1645113813573786079,770
1645113814573645985,777
1645113815583800702,779
1645113816583724400,779
1645113817583660121,773
1645113818583932211,762
1645113819593934386,766
1645113820593840089,764
1645113821593964967,765
1645113822593838764,759
1645113823603974973,772
1645113824603832216,773
1645113825604035954,773
1645113826614132694,768
1645113827614200696,772
1645113828614098339,772
1645113829614216262,774
1645113830623966989,776
1645113831623936666,778
1645113832624156511,764
1645113833624078111,771
1645113834634119111,774
1645113835634306000,760
1645113836634269392,766
1645113837634121477,776
1645113838644411087,760
1645113839644271470,773
1645113840644306896,769
1645113841644419171,769
1645113842654523182,772
1645113843654653459,772
1645113844654356870,780
1645113845664444835,766
1645113846664860373,777
1645113847664767284,767
1645113848664574204,779
1645113849664633198,778
1645113850674702269,776
1645113851674548173,783
1645113852674482773,773
1645113853684707424,772
1645113854684778367,767
1645113855684611364,773
1645113856684728087,770
1645113857694935043,768
1645113858694737369,770
1645113859694605440,770
1645113860704961781,774
1645113861704852985,778
1645113862704904027,773
1645113863714864672,775
1645113864715014221,777
1645113865714907417,776
1645113866714940952,776
1645113867724905989,766
1645113868725068999,755
1645113869724944774,755
1645113870724751591,761
1645113871734983741,760
1645113872735116328,765
1645113873735108514,754
1645113874734983291,740
1645113875745087434,733
1645113876745001803,735
1645113877745085853,749
1645113878745234490,765
1645113879755195770,777
1645113880755126644,778
1645113881755114071,759
1645113882755359039,764
1645113883765363494,767
1645113884765441513,767
1645113885765348961,769
1645113886765369149,767
1645113887775362207,763
1645113888775632552,762
1645113889775366789,771
1645113890775295020,764
1645113891785526612,769
1645113892785475988,773
1645113893785515787,779
1645113894785603191,771
1645113895795349952,761
1645113896795511566,763
1645113897795607496,759
1645113898805649294,761
1645113899805816292,760
1645113900805783154,764
1645113901805659037,770
1645113902815771758,761
1645113903815824032,763
1645113904815784241,766
1645113905815692869,743
1645113906825810905,741
1645113907825727628,772
1645113908825609235,742
1645113909825863985,719
1645113910835860794,755
1645113911835772710,738
1645113912835849996,763
1645113913836032074,736
1645113914845876682,740
1645113915845898828,739
1645113916846070880,741
1645113917845946395,738
1645113918856103422,737
1645113919856142939,737
1645113920856106699,752
1645113921856277398,735
1645113922866071681,734
1645113923866076927,742
1645113924866286463,730
1645113925866174815,719
1645113926876132998,741
1645113927876202902,738
1645113928876305121,741
1645113929886228553,742
1645113930886263512,742
1645113931886428936,737
1645113932896444004,741
1645113933896182246,740
1645113934896451809,732
1645113935896624861,682
1645113936906492539,732
1645113937906636008,754
1645113938906771422,727
1645113939906632682,767
1645113940916357288,765
1645113941916579267,766
1645113942916569509,763
1645113943916545329,768
1645113944926675756,768
1645113945926719467,767
1645113946926634828,774
1645113947926613998,779
1645113948936711930,769
1645113949936698705,769
1645113950936760558,766
1645113951936777117,767
1645113952946963339,777
1645113953946885908,774
1645113954946869238,773
1645113955946703452,774
1645113956957144024,775
1645113957957081409,774
1645113958956958194,775
1645113959957085493,774
1645113960967049732,778
1645113961967027693,770
1645113962966991997,765
1645113963977130657,758
1645113964976966386,712
1645113965977044758,729
1645113966977264244,756
1645113967987168647,762
1645113968986962404,760
1645113969987158900,769
1645113970987191388,767
1645113971997153448,766
1645113972997187048,772
1645113973997345906,772
1645113974997247806,777
1645113976007326825,774
1645113977007439363,773
1645113978007542019,775
1645113979007505106,775
1645113980017456808,771
1645113981017458733,705
1645113982017596543,728
1645113983017422217,759
1645113984027474093,747
1645113985027535107,763
1645113986027601787,772
1645113987037384492,772
1645113988037614935,772
1645113989037570281,769
1645113990037444777,772
1645113991047676130,769
1645113992047844698,766
1645113993047691366,770
1645113994047679843,772
1645113995058025507,774
1645113996057857565,722
1645113997057856313,742
1645113998057994547,717
1645113999067886460,753
1645114000067658257,713
1645114001067762006,746
1645114002078018303,733
1645114003077833017,768
1645114004077932077,778
1645114005077796755,778
1645114006087972917,768
1645114007088214958,762
1645114008088003838,755
1645114009098210804,761
1645114010098254605,754
1645114011098118409,757
1645114012098200285,746
1645114013108388969,746
1645114014108310595,748
1645114015108207620,747
1645114016118224372,760
1645114017118276920,773
1645114018118142533,745
1645114019128336841,760
1645114020128470921,766
1645114021128427929,771
1645114022128217155,767
1645114023138432385,768
1645114024138284252,774
1645114025138422340,777
1645114026138509829,769
1645114027148586627,758
1645114028148439921,765
1645114029148541062,758
1645114030158724225,794
1645114031158838621,767
1645114032158882591,749
1645114033158666515,710
1645114034168764216,708
1645114035168628245,705
1645114036168530723,732
1645114037168490272,750
1645114038178813957,765
1645114039178787248,778
1645114040178742658,774
1645114041188804577,770
1645114042189001177,762
1645114043188752187,762
1645114044188905107,773
1645114045199094411,766
1645114046198984670,764
1645114047198858544,766
1645114048198986099,757
