rosbagTimestamp,level,name,message,hardware_id,values
1645113790432502318,1,"""toplevel_state""",'','',[]
1645113791432483698,1,"""toplevel_state""",'','',[]
1645113792432477977,1,"""toplevel_state""",'','',[]
1645113793432509367,1,"""toplevel_state""",'','',[]
1645113794432478312,1,"""toplevel_state""",'','',[]
1645113795432487604,1,"""toplevel_state""",'','',[]
1645113796432406507,1,"""toplevel_state""",'','',[]
1645113797432406728,1,"""toplevel_state""",'','',[]
1645113798432497540,1,"""toplevel_state""",'','',[]
1645113799432469571,1,"""toplevel_state""",'','',[]
1645113800432487413,1,"""toplevel_state""",'','',[]
1645113801432410088,1,"""toplevel_state""",'','',[]
1645113802432579427,2,"""toplevel_state""",'','',[]
1645113803432419030,1,"""toplevel_state""",'','',[]
1645113804432528536,2,"""toplevel_state""",'','',[]
1645113805432358711,1,"""toplevel_state""",'','',[]
1645113806432395915,1,"""toplevel_state""",'','',[]
1645113807432529567,1,"""toplevel_state""",'','',[]
1645113808432577368,1,"""toplevel_state""",'','',[]
1645113809432404843,1,"""toplevel_state""",'','',[]
1645113810432465542,1,"""toplevel_state""",'','',[]
1645113811432547118,1,"""toplevel_state""",'','',[]
1645113812432440176,1,"""toplevel_state""",'','',[]
1645113813432429243,1,"""toplevel_state""",'','',[]
1645113814432423833,1,"""toplevel_state""",'','',[]
1645113815432434811,1,"""toplevel_state""",'','',[]
1645113816432439441,1,"""toplevel_state""",'','',[]
1645113817432391474,1,"""toplevel_state""",'','',[]
1645113818432432430,1,"""toplevel_state""",'','',[]
1645113819432557271,1,"""toplevel_state""",'','',[]
1645113820432497589,1,"""toplevel_state""",'','',[]
1645113821432505820,1,"""toplevel_state""",'','',[]
1645113822432437539,1,"""toplevel_state""",'','',[]
1645113823432506735,1,"""toplevel_state""",'','',[]
1645113824432478390,1,"""toplevel_state""",'','',[]
1645113825432516049,1,"""toplevel_state""",'','',[]
1645113826432364208,1,"""toplevel_state""",'','',[]
1645113827432462487,1,"""toplevel_state""",'','',[]
1645113828432504737,1,"""toplevel_state""",'','',[]
1645113829432482062,1,"""toplevel_state""",'','',[]
1645113830432351347,1,"""toplevel_state""",'','',[]
1645113831432426122,1,"""toplevel_state""",'','',[]
1645113832432417570,1,"""toplevel_state""",'','',[]
1645113833432472980,1,"""toplevel_state""",'','',[]
1645113834432443119,1,"""toplevel_state""",'','',[]
1645113835432414144,1,"""toplevel_state""",'','',[]
1645113836432396386,2,"""toplevel_state""",'','',[]
1645113837432542104,1,"""toplevel_state""",'','',[]
1645113838432410373,1,"""toplevel_state""",'','',[]
1645113839432477436,2,"""toplevel_state""",'','',[]
1645113840432405709,1,"""toplevel_state""",'','',[]
1645113841432497361,1,"""toplevel_state""",'','',[]
1645113842432454919,1,"""toplevel_state""",'','',[]
1645113843432521693,1,"""toplevel_state""",'','',[]
1645113844432509054,1,"""toplevel_state""",'','',[]
1645113845432550786,1,"""toplevel_state""",'','',[]
1645113846432470715,1,"""toplevel_state""",'','',[]
1645113847432576258,1,"""toplevel_state""",'','',[]
1645113848431808978,1,"""toplevel_state""",'','',[]
1645113849432463879,1,"""toplevel_state""",'','',[]
1645113850432361823,1,"""toplevel_state""",'','',[]
1645113851432434763,1,"""toplevel_state""",'','',[]
1645113852432433058,1,"""toplevel_state""",'','',[]
1645113853432329087,1,"""toplevel_state""",'','',[]
1645113854432446448,1,"""toplevel_state""",'','',[]
1645113855432411562,1,"""toplevel_state""",'','',[]
1645113856432460530,1,"""toplevel_state""",'','',[]
1645113857432523707,1,"""toplevel_state""",'','',[]
1645113858432435706,1,"""toplevel_state""",'','',[]
1645113859432523151,1,"""toplevel_state""",'','',[]
1645113860432417001,1,"""toplevel_state""",'','',[]
1645113861432435073,1,"""toplevel_state""",'','',[]
1645113862432377742,1,"""toplevel_state""",'','',[]
1645113863432461399,1,"""toplevel_state""",'','',[]
1645113864432443747,1,"""toplevel_state""",'','',[]
1645113865432489573,1,"""toplevel_state""",'','',[]
1645113866432504874,1,"""toplevel_state""",'','',[]
1645113867432370315,1,"""toplevel_state""",'','',[]
1645113868432430027,1,"""toplevel_state""",'','',[]
1645113869432477109,2,"""toplevel_state""",'','',[]
1645113870432456764,2,"""toplevel_state""",'','',[]
1645113871432385305,1,"""toplevel_state""",'','',[]
1645113872432487263,1,"""toplevel_state""",'','',[]
1645113873432352306,1,"""toplevel_state""",'','',[]
1645113874432395500,2,"""toplevel_state""",'','',[]
1645113875432493385,2,"""toplevel_state""",'','',[]
1645113876432428672,2,"""toplevel_state""",'','',[]
1645113877432437851,2,"""toplevel_state""",'','',[]
1645113878432550589,2,"""toplevel_state""",'','',[]
1645113879432493018,1,"""toplevel_state""",'','',[]
1645113880432483390,1,"""toplevel_state""",'','',[]
1645113881432441765,1,"""toplevel_state""",'','',[]
1645113882432486758,1,"""toplevel_state""",'','',[]
1645113883432459836,2,"""toplevel_state""",'','',[]
1645113884432532377,1,"""toplevel_state""",'','',[]
1645113885432512703,1,"""toplevel_state""",'','',[]
1645113886432400623,1,"""toplevel_state""",'','',[]
1645113887432412924,1,"""toplevel_state""",'','',[]
1645113888432444809,1,"""toplevel_state""",'','',[]
1645113889432429189,1,"""toplevel_state""",'','',[]
1645113890432518090,1,"""toplevel_state""",'','',[]
1645113891432512724,1,"""toplevel_state""",'','',[]
1645113892432516187,1,"""toplevel_state""",'','',[]
1645113893432469742,1,"""toplevel_state""",'','',[]
1645113894432354446,1,"""toplevel_state""",'','',[]
1645113895432445191,1,"""toplevel_state""",'','',[]
1645113896432370345,1,"""toplevel_state""",'','',[]
1645113897432419214,2,"""toplevel_state""",'','',[]
1645113898432415110,2,"""toplevel_state""",'','',[]
1645113899432457558,2,"""toplevel_state""",'','',[]
1645113900432497910,1,"""toplevel_state""",'','',[]
1645113901432392377,1,"""toplevel_state""",'','',[]
1645113902432442516,1,"""toplevel_state""",'','',[]
1645113903432442661,1,"""toplevel_state""",'','',[]
1645113904432473499,1,"""toplevel_state""",'','',[]
1645113905432445062,2,"""toplevel_state""",'','',[]
1645113906432411608,2,"""toplevel_state""",'','',[]
1645113907432465615,2,"""toplevel_state""",'','',[]
1645113908432372196,2,"""toplevel_state""",'','',[]
1645113909432546826,2,"""toplevel_state""",'','',[]
1645113910432433461,2,"""toplevel_state""",'','',[]
1645113911432412986,2,"""toplevel_state""",'','',[]
1645113912432436958,2,"""toplevel_state""",'','',[]
1645113913432495610,2,"""toplevel_state""",'','',[]
1645113914432503975,2,"""toplevel_state""",'','',[]
1645113915432532026,2,"""toplevel_state""",'','',[]
1645113916432517911,2,"""toplevel_state""",'','',[]
1645113917432334649,2,"""toplevel_state""",'','',[]
1645113918432473189,2,"""toplevel_state""",'','',[]
1645113919432421260,2,"""toplevel_state""",'','',[]
1645113920432492762,2,"""toplevel_state""",'','',[]
1645113921432482201,2,"""toplevel_state""",'','',[]
1645113922432441835,2,"""toplevel_state""",'','',[]
1645113923432475423,2,"""toplevel_state""",'','',[]
1645113924432519555,2,"""toplevel_state""",'','',[]
1645113925432403918,2,"""toplevel_state""",'','',[]
1645113926432400863,2,"""toplevel_state""",'','',[]
1645113927432427260,2,"""toplevel_state""",'','',[]
1645113928432472310,2,"""toplevel_state""",'','',[]
1645113929432606643,2,"""toplevel_state""",'','',[]
1645113930432392647,2,"""toplevel_state""",'','',[]
1645113931432366544,2,"""toplevel_state""",'','',[]
1645113932432437473,2,"""toplevel_state""",'','',[]
1645113933432500741,2,"""toplevel_state""",'','',[]
1645113934432389230,2,"""toplevel_state""",'','',[]
1645113935432497301,2,"""toplevel_state""",'','',[]
1645113936432442137,2,"""toplevel_state""",'','',[]
1645113937432516559,2,"""toplevel_state""",'','',[]
1645113938432467726,2,"""toplevel_state""",'','',[]
1645113939432519474,2,"""toplevel_state""",'','',[]
1645113940432392962,2,"""toplevel_state""",'','',[]
1645113941432405054,1,"""toplevel_state""",'','',[]
1645113942432446432,1,"""toplevel_state""",'','',[]
1645113943432456612,1,"""toplevel_state""",'','',[]
1645113944432443575,1,"""toplevel_state""",'','',[]
1645113945432464793,1,"""toplevel_state""",'','',[]
1645113946432437749,1,"""toplevel_state""",'','',[]
1645113947432407649,1,"""toplevel_state""",'','',[]
1645113948432413753,1,"""toplevel_state""",'','',[]
1645113949432506510,1,"""toplevel_state""",'','',[]
1645113950432355369,1,"""toplevel_state""",'','',[]
1645113951432453095,1,"""toplevel_state""",'','',[]
1645113952432453316,1,"""toplevel_state""",'','',[]
1645113953432446786,1,"""toplevel_state""",'','',[]
1645113954432512424,1,"""toplevel_state""",'','',[]
1645113955432449767,1,"""toplevel_state""",'','',[]
1645113956432493458,1,"""toplevel_state""",'','',[]
1645113957432467468,1,"""toplevel_state""",'','',[]
1645113958432551483,1,"""toplevel_state""",'','',[]
1645113959432462454,1,"""toplevel_state""",'','',[]
1645113960432429390,1,"""toplevel_state""",'','',[]
1645113961432363926,1,"""toplevel_state""",'','',[]
1645113962432514988,1,"""toplevel_state""",'','',[]
1645113963432459441,1,"""toplevel_state""",'','',[]
1645113964432523734,2,"""toplevel_state""",'','',[]
1645113965432479473,2,"""toplevel_state""",'','',[]
1645113966432408273,2,"""toplevel_state""",'','',[]
1645113967432487170,2,"""toplevel_state""",'','',[]
1645113968432485838,2,"""toplevel_state""",'','',[]
1645113969432476356,2,"""toplevel_state""",'','',[]
