rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,theodolite_time,secs,nsecs,theodolite_id,status,azimuth,elevation,distance
1645113668216139316,,371,,1645113667,277283779,"""theodolite_n_3""",,1616542522,792895644,3,0,5.10582845693,1.50198668695,6.61828738276
1645113668216344136,,372,,1645113667,404836659,"""theodolite_n_1""",,1617284508,619445202,1,0,5.0060263101,1.45976701478,6.80139902653
1645113668216602523,,373,,1645113667,556160382,"""theodolite_n_2""",,1616541855,516129180,2,0,4.55734219377,1.49968785849,5.50340235915
1645113668245984752,,374,,1645113667,676208518,"""theodolite_n_3""",,1616542523,191820383,3,0,5.10582793857,1.50198669637,6.61846738278
1645113668369492860,,375,,1645113667,806100617,"""theodolite_n_1""",,1617284509,20709160,1,0,5.00602574461,1.45976303269,6.80119901277
1645113668493950654,,376,,1645113667,956098663,"""theodolite_n_2""",,1616541855,916067461,2,0,4.55734257076,1.49968534115,5.50337235355
1645113668617823324,,377,,1645113668,77439456,"""theodolite_n_3""",,1616542523,593051321,3,0,5.10582773437,1.50198558481,6.61846738039
1645113668740412925,,378,,1645113668,206138325,"""theodolite_n_1""",,1617284509,420746868,1,0,5.00602544616,1.45976001589,6.80139900234
1645113668863399369,,379,,1645113668,356093715,"""theodolite_n_2""",,1616541856,316062513,2,0,4.55734235085,1.49968390625,5.50268235037
1645113668986827143,,380,,1645113668,476290601,"""theodolite_n_3""",,1616542523,991902466,3,0,5.10582702751,1.50198596332,6.6183873812
1645113669109891807,,381,,1645113668,606100981,"""theodolite_n_1""",,1617284509,820709524,1,0,5.00602477072,1.45976003122,6.80110900239
1645113669234179724,,382,,1645113668,756072621,"""theodolite_n_2""",,1616541856,716041419,2,0,4.55734209952,1.49968127689,5.50300234453
1645113669363631385,,383,,1645113668,877702112,"""theodolite_n_3""",,1616542524,393313977,3,0,5.10582855118,1.50198515413,6.61869737947
1645113669480782781,,384,,1645113669,6082231,"""theodolite_n_1""",,1617284510,220690774,1,0,5.00602506917,1.45975990405,6.80084900195
1645113669605493840,,385,,1645113669,158178559,"""theodolite_n_2""",,1616541857,118147357,2,0,4.55734392165,1.49967868919,5.50312233878
1645113669727241214,,386,,1645113669,273889612,"""theodolite_n_3""",,1616542524,789501477,3,0,5.10582735737,1.50198706512,6.61821738357
1645113669850759372,,387,,1645113669,406091710,"""theodolite_n_1""",,1617284510,620700253,1,0,5.00602403244,1.45975736522,6.80118899317
1645113669975155979,,388,,1645113669,555718402,"""theodolite_n_2""",,1616541857,515687200,2,0,4.55734348182,1.49967768261,5.50292233654
1645113670097714975,,389,,1645113669,675146330,"""theodolite_n_3""",,1616542525,190758195,3,0,5.10582683901,1.50198797662,6.61811738553
1645113670221084416,,390,,1645113669,806100876,"""theodolite_n_1""",,1617284511,20709419,1,0,5.0060267028,1.45975013167,6.80088896816
1645113670345516118,,391,,1645113669,955678350,"""theodolite_n_2""",,1616541857,915647148,2,0,4.55734305771,1.4996766039,5.50381233415
1645113670468936294,,392,,1645113670,73888361,"""theodolite_n_3""",,1616542525,589500226,3,0,5.10582594366,1.50198707482,6.61793738359
1645113670593045266,,393,,1645113670,206141501,"""theodolite_n_1""",,1617284511,420750044,1,0,5.00602909041,1.45974583551,6.80129895331
1645113670715748443,,394,,1645113669,955678350,"""theodolite_n_2""",,1616541857,915647148,2,0,4.55734305771,1.4996766039,5.50381233415
1645113670841119926,,395,,1645113670,73888361,"""theodolite_n_3""",,1616542525,589500226,3,0,5.10582594366,1.50198707482,6.61793738359
1645113670962333694,,396,,1645113670,206141501,"""theodolite_n_1""",,1617284511,420750044,1,0,5.00602909041,1.45974583551,6.80129895331
1645113671085535737,,397,,1645113670,355609860,"""theodolite_n_2""",,1616541858,315578658,2,0,4.55734371744,1.49967678543,5.50393233455
