rosbagTimestamp,data
1645113668286847442,50.875
1645113669297114249,50.875
1645113670297049935,50.8125
1645113671297124341,50.875
1645113672297116133,50.875
1645113673307341009,50.8125
1645113674307200036,50.8125
1645113675307327611,50.8125
1645113676307434606,50.8125
1645113677317191960,50.8125
1645113678317163639,50.875
1645113679317275711,50.8125
1645113680327279955,50.8125
1645113681327368463,50.8125
1645113682327312679,50.8125
1645113683327397302,50.8125
1645113684337383173,50.8125
1645113685337417867,50.8125
1645113686337297429,50.8125
1645113687337455208,50.875
1645113688347601875,50.8125
1645113689347327920,50.8125
1645113690347450730,50.875
1645113691347611201,50.8125
1645113692357522643,50.875
1645113693357439016,50.8125
1645113694357580836,50.8125
1645113695367750791,50.8125
1645113696367335088,50.8125
1645113697367645749,50.8125
1645113698367697583,50.8125
1645113699377427848,50.8125
1645113700377518241,50.875
1645113701377637002,50.0625
1645113702377650766,49.5
1645113703387624620,48.0
1645113704387951635,48.4375
1645113705387937929,48.5625
1645113706387686400,48.25
1645113707397752758,47.875
1645113708397750871,47.8125
1645113709397800453,47.4375
1645113710407974007,47.9375
1645113711407949359,48.1875
1645113712408170201,47.6875
1645113713408004187,47.6875
1645113714417737673,48.0625
1645113715417874159,48.5
1645113716418008275,48.25
1645113717417836838,48.375
1645113718427931587,48.625
1645113719428173121,48.625
1645113720428042782,48.3125
1645113721438047182,48.0
1645113722438085320,48.875
1645113723438040464,48.75
1645113724437884957,48.8125
1645113725448004426,48.3125
1645113726448206500,47.25
1645113727448016214,47.75
1645113728448118497,48.1875
1645113729458249806,48.25
1645113730458231904,48.375
1645113731458232960,48.75
1645113732458346478,48.625
1645113733468248309,47.9375
1645113734468285344,47.375
1645113735468253269,47.375
1645113736468167087,47.1875
1645113737478241583,47.3125
1645113738478286754,47.8125
1645113739478228896,47.8125
1645113740488436016,48.0
1645113741488291666,48.25
1645113742488359645,48.5
1645113743488366773,48.5
1645113744498415425,48.375
1645113745498385884,48.3125
1645113746498322906,48.125
1645113747498296793,48.625
1645113748508726534,48.375
1645113749508562684,48.3125
1645113750508801193,48.3125
1645113751508772929,47.8125
1645113752518581995,48.5
1645113753518556631,48.6875
1645113754518610690,48.5625
1645113755528627534,48.3125
1645113756528596861,47.9375
1645113757528638785,48.4375
1645113758528694762,48.0
1645113759538741487,47.9375
1645113760538725956,48.0
1645113761538838451,47.8125
1645113762538889446,48.125
1645113763548730531,47.8125
1645113764548767564,48.125
1645113765548802715,47.75
1645113766548930241,48.25
1645113767558838820,48.0
1645113768559001921,47.3125
1645113769559190814,47.8125
1645113770559142741,47.5625
1645113771568927493,47.5
1645113772569186526,47.125
1645113773569034785,47.625
1645113774568832572,48.0625
1645113775579137663,48.3125
1645113776579013013,48.5
1645113777578848372,48.5625
1645113778578964108,48.3125
1645113779589160578,48.375
1645113780588984714,48.625
1645113781588989308,48.625
1645113782599248791,48.1875
1645113783599177841,48.75
1645113784599141718,48.4375
1645113785599215944,48.125
1645113786609407041,48.5
1645113787609300239,48.6875
1645113788609251520,48.6875
1645113789609332393,48.5625
1645113790619186005,48.375
1645113791619247747,48.1875
1645113792619195323,48.125
1645113793619424539,47.8125
1645113794629443869,47.9375
1645113795629356280,47.75
1645113796629361796,48.1875
1645113797629562958,48.25
1645113798639476449,48.5625
1645113799639441303,48.125
1645113800639537615,48.0
1645113801639538272,47.6875
1645113802649367827,47.375
1645113803649701605,46.9375
1645113804649693903,48.1875
1645113805649506022,48.375
1645113806659676306,48.5
1645113807659998644,48.5625
1645113808659661662,48.5
1645113809669490320,48.625
1645113810669682646,48.25
1645113811669646464,47.75
1645113812669492353,47.8125
1645113813679727034,48.25
1645113814679690418,48.625
1645113815679829960,48.625
1645113816679758120,48.4375
1645113817689766126,48.5
1645113818689997240,48.125
1645113819689952810,48.0625
1645113820689870440,48.1875
1645113821699997926,47.8125
1645113822699952394,47.6875
1645113823699873403,48.3125
1645113824699858177,47.9375
1645113825710117846,48.125
1645113826710112245,48.1875
1645113827710148357,48.4375
1645113828710367338,48.3125
1645113829719993040,48.5
1645113830719999915,48.4375
1645113831720096500,48.3125
1645113832720183686,47.3125
1645113833730035630,47.8125
1645113834730041770,48.0625
1645113835730300628,47.3125
1645113836740326945,47.5
1645113837740208737,48.25
1645113838740363613,47.0625
1645113839740200755,48.0
1645113840750276908,48.0
1645113841750180676,47.6875
1645113842750346408,47.9375
1645113843750312066,48.0
1645113844760515994,48.5625
1645113845760438039,48.25
1645113846760624538,48.5625
1645113847760471640,48.0625
1645113848770265587,48.8125
1645113849770499336,48.6875
1645113850770489528,48.9375
1645113851770612730,48.875
1645113852780482629,48.5
1645113853780633346,48.375
1645113854780441434,48.25
1645113855790540305,48.375
1645113856790643666,48.3125
1645113857790600544,48.125
1645113858800569036,48.4375
1645113859800678872,48.4375
1645113860800632089,48.5625
1645113861800472126,48.5625
1645113862810938512,48.4375
1645113863810807627,48.5625
1645113864810810112,48.6875
1645113865810657354,48.5
1645113866821003822,48.625
1645113867820935688,48.1875
1645113868820856827,47.25
1645113869830680277,47.9375
1645113870830728093,47.9375
1645113871830964511,47.5
1645113872830919260,48.0
1645113873840811308,47.375
1645113874841082392,46.375
1645113875841005446,46.9375
1645113876840891496,46.8125
1645113877851044895,47.25
1645113878851115687,48.1875
1645113879851062875,48.4375
1645113880850900644,48.375
1645113881861410678,46.875
1645113882861353404,47.625
1645113883861252452,48.0
1645113884861258621,47.9375
1645113885871169480,48.25
1645113886871186246,48.25
1645113887871211294,47.9375
1645113888871564510,47.9375
1645113889881198509,48.25
1645113890881096054,48.0
1645113891881396551,48.4375
1645113892881325295,48.3125
1645113893891356815,48.3125
1645113894891392032,47.8125
1645113895891453558,47.75
1645113896891256479,47.25
1645113897901475016,47.0625
1645113898901345915,47.0
1645113899901385975,47.625
1645113900901306117,48.0
1645113901911592371,48.4375
1645113902911693233,48.0
1645113903911676543,48.25
1645113904921398665,48.125
1645113905921533199,46.1875
1645113906921681559,46.6875
1645113907921478743,47.1875
1645113908931484657,46.375
1645113909931713188,46.5
1645113910931854894,46.5625
1645113911931615896,46.25
1645113912941788814,47.8125
1645113913941771658,46.25
1645113914941646758,47.0
1645113915941611170,46.9375
1645113916951851900,46.75
1645113917951807023,46.875
1645113918951708457,46.875
1645113919951744733,46.625
1645113920961875210,47.5
1645113921962141833,46.125
1645113922961900109,45.9375
1645113923961878947,45.875
1645113924971890859,45.625
1645113925971930971,42.8125
1645113926971956904,46.375
1645113927981940350,46.375
1645113928982153927,46.5
1645113929982064661,47.4375
1645113930982070683,46.5
1645113931992186638,46.5
1645113932991887060,46.625
1645113933992074136,46.5625
1645113935002272591,46.1875
1645113936002108525,41.8125
1645113937002010506,46.9375
1645113938002424773,47.0
1645113939012385420,40.625
1645113940012333877,47.8125
1645113941012269363,48.0625
1645113942012465351,48.3125
1645113943022188691,47.8125
1645113944022187243,48.125
1645113945022586633,47.8125
1645113946022347005,48.125
1645113947032314996,48.375
1645113948032536702,48.25
1645113949032468713,47.875
1645113950032379279,47.625
1645113951042495868,47.5625
1645113952042373932,47.6875
1645113953042693059,48.6875
1645113954042601131,48.4375
1645113955052321775,48.5625
1645113956052614453,48.5625
1645113957052661762,48.4375
1645113958052552358,48.4375
1645113959062592503,48.5
1645113960062938885,48.4375
1645113961062836650,48.4375
1645113962062876627,47.9375
1645113963072685902,47.25
